"","genus","species"
"281","Hexolobodon","phenax"
"282","Clidomys","osborni"
"283","Elasmodontomys","obliquus"
"284","Quemisia","gravis"
"285","Amblyrhiza","inundata"
"286","Myocastor","coypus"
"287","Anomalurus","peli"
"288","Anomalurus","derbianus"
"289","Anomalurus","pusillus"
"290","Idiurus","zenkeri"
"291","Idiurus","macrotis"
"292","Zenkerella","insignis"
"293","Pedetes","capensis"
"294","Aplodontia","rufa"
"295","Ratufa","affinis"
"296","Ratufa","bicolor"
"297","Ratufa","indica"
"298","Ratufa","macroura"
"299","Sciurillus","pusillus"
"300","Microsciurus","alfari"
"301","Microsciurus","flaviventer"
"302","Microsciurus","mimulus"
"303","Microsciurus","santanderensis"
"304","Rheithrosciurus","macrotis"
"305","Sciurus","aestuans"
"306","Sciurus","argentinius"
"307","Sciurus","gilvigularis"
"308","Sciurus","granatensis"
"309","Sciurus","ignitus"
"310","Sciurus","pucheranii"
"311","Sciurus","richmondi"
"312","Sciurus","sanborni"
"313","Sciurus","stramineus"
"314","Sciurus","ingrami"
"315","Sciurus","flammifer"
"316","Sciurus","pyrrhinus"
"317","Sciurus","griseus"
"318","Sciurus","aberti"
"319","Sciurus","alleni"
"320","Sciurus","arizonensis"
"321","Sciurus","aureogaster"
"322","Sciurus","carolinensis"
"323","Sciurus","colliaei"
"324","Sciurus","deppei"
"325","Sciurus","lis"
"326","Sciurus","nayaritensis"
"327","Sciurus","niger"
"328","Sciurus","oculatus"
"329","Sciurus","variegatoides"
"330","Sciurus","vulgaris"
"331","Sciurus","yucatanensis"
"332","Sciurus","anomalus"
"333","Sciurus","igniventris"
"334","Sciurus","spadiceus"
"335","Syntheosciurus","brochus"
"336","Tamiasciurus","douglasii"
"337","Tamiasciurus","hudsonicus"
"338","Tamiasciurus","mearnsi"
"339","Aeretes","melanopterus"
"340","Aeromys","tephromelas"
"341","Aeromys","thomasi"
"342","Belomys","pearsoni"
"343","Biswamoyopterus","biswasi"
"344","Eoglaucomys","fimbriatus"
"345","Eupetaurus","cinereus"
"346","Glaucomys","volans"
"347","Glaucomys","sabrinus"
"348","Hylopetes","alboniger"
"349","Hylopetes","baberi"
"350","Hylopetes","bartelsi"
"351","Hylopetes","fimbriatus"
"352","Hylopetes","lepidus"
"353","Hylopetes","nigripes"
"354","Hylopetes","phayrei"
"355","Hylopetes","platyurus"
"356","Hylopetes","sipora"
"357","Hylopetes","spadiceus"
"358","Hylopetes","winstoni"
"359","Iomys","horsfieldii"
"360","Iomys","sipora"
"361","Petaurillus","emiliae"
"362","Petaurillus","hosei"
"363","Petaurillus","kinlochii"
"364","Petaurista","alborufus"
"365","Petaurista","elegans"
"366","Petaurista","leucogenys"
"367","Petaurista","magnificus"
"368","Petaurista","nobilis"
"369","Petaurista","petaurista"
"370","Petaurista","philippensis"
"371","Petaurista","xanthotis"
"372","Petinomys","crinitus"
"373","Petinomys","fuscocapillus"
"374","Petinomys","genibarbis"
"375","Petinomys","hageni"
"376","Petinomys","lugens"
"377","Petinomys","mindanensis"
"378","Petinomys","sagitta"
"379","Petinomys","setosus"
"380","Petinomys","vordermanni"
"381","Pteromys","volans"
"382","Pteromys","momonga"
"383","Pteromyscus","pulverulentus"
"384","Trogopterus","xanthipes"
"385","Callosciurus","erythraeus"
"386","Callosciurus","quinquestriatus"
"387","Callosciurus","finlaysonii"
"388","Callosciurus","flavimanus"
"389","Callosciurus","caniceps"
"390","Callosciurus","inornatus"
"391","Callosciurus","pygerythrus"
"392","Callosciurus","phayrei"
"393","Callosciurus","prevostii"
"394","Callosciurus","baluensis"
"395","Callosciurus","notatus"
"396","Callosciurus","nigrovittatus"
"397","Callosciurus","adamsi"
"398","Callosciurus","melanogaster"
"399","Callosciurus","orestes"
"400","Callosciurus","albescens"
"401","Dremomys","everetti"
"402","Dremomys","gularis"
"403","Dremomys","lokriah"
"404","Dremomys","pernyi"
"405","Dremomys","pyrrhomerus"
"406","Dremomys","rufigenis"
"407","Exilisciurus","concinnus"
"408","Exilisciurus","exilis"
"409","Exilisciurus","whiteheadi"
"410","Funambulus","layardi"
"411","Funambulus","palmarum"
"412","Funambulus","pennantii"
"413","Funambulus","sublineatus"
"414","Funambulus","tristriatus"
"415","Glyphotes","simus"
"416","Hyosciurus","heinrichi"
"417","Hyosciurus","ileile"
"418","Lariscus","hosei"
"419","Lariscus","insignis"
"420","Lariscus","niobe"
"421","Lariscus","obscurus"
"422","Menetes","berdmorei"
"423","Nannosciurus","melanotis"
"424","Prosciurillus","abstrusus"
"425","Prosciurillus","leucomus"
"426","Prosciurillus","murinus"
"427","Prosciurillus","rosenbergii"
"428","Prosciurillus","weberi"
"429","Rhinosciurus","laticaudatus"
"430","Rubrisciurus","rubriventer"
"431","Sundasciurus","brookei"
"432","Sundasciurus","davensis"
"433","Sundasciurus","fraterculus"
"434","Sundasciurus","hippurus"
"435","Sundasciurus","hoogstraali"
"436","Sundasciurus","jentinki"
"437","Sundasciurus","juvencus"
"438","Sundasciurus","lowii"
"439","Sundasciurus","mindanensis"
"440","Sundasciurus","moellendorffi"
"441","Sundasciurus","philippinensis"
"442","Sundasciurus","rabori"
"443","Sundasciurus","samarensis"
"444","Sundasciurus","steerii"
"445","Sundasciurus","tenuis"
"446","Tamiops","macclellandii"
"447","Tamiops","maritimus"
"448","Tamiops","rodolpheii"
"449","Tamiops","swinhoei"
"450","Atlantoxerus","getulus"
"451","Spermophilopsis","leptodactylus"
"452","Xerus","erythropus"
"453","Xerus","inauris"
"454","Xerus","princeps"
"455","Xerus","rutilus"
"456","Epixerus","ebii"
"457","Epixerus","wilsoni"
"458","Funisciurus","anerythrus"
"459","Funisciurus","bayonii"
"460","Funisciurus","carruthersi"
"461","Funisciurus","congicus"
"462","Funisciurus","isabella"
"463","Funisciurus","lemniscatus"
"464","Funisciurus","leucogenys"
"465","Funisciurus","pyrropus"
"466","Funisciurus","substriatus"
"467","Heliosciurus","gambianus"
"468","Heliosciurus","mutabilis"
"469","Heliosciurus","rufobrachium"
"470","Heliosciurus","ruwenzorii"
"471","Heliosciurus","undulatus"
"472","Myosciurus","pumilio"
"473","Paraxerus","alexandri"
"474","Paraxerus","boehmi"
"475","Paraxerus","cepapi"
"476","Paraxerus","cooperi"
"477","Paraxerus","flavovittis"
"478","Paraxerus","lucifer"
"479","Paraxerus","ochraceus"
"480","Paraxerus","palliatus"
"481","Paraxerus","poensis"
"482","Paraxerus","vexillarius"
"483","Paraxerus","vincenti"
"484","Protoxerus","aubinnii"
"485","Protoxerus","stangeri"
"486","Ammospermophilus","harrisii"
"487","Ammospermophilus","nelsoni"
"488","Ammospermophilus","leucurus"
"489","Ammospermophilus","interpres"
"490","Ammospermophilus","insularis"
"491","Cynomys","gunnisoni"
"492","Cynomys","leucurus"
"493","Cynomys","ludovicianus"
"494","Cynomys","mexicanus"
"495","Cynomys","parvidens"
"496","Marmota","baibacina"
"497","Marmota","bobak"
"498","Marmota","broweri"
"499","Marmota","caligata"
"500","Marmota","camtschatica"
"501","Marmota","caudata"
"502","Marmota","flaviventris"
"503","Marmota","himalayana"
"504","Marmota","marmota"
"505","Marmota","menzbieri"
"506","Marmota","monax"
"507","Marmota","olympus"
"508","Marmota","sibirica"
"509","Marmota","vancouverensis"
"510","Sciurotamias","davidianus"
"511","Sciurotamias","forresti"
"512","Spermophilus","adocetus"
"513","Spermophilus","alashanicus"
"514","Spermophilus","annulatus"
"515","Spermophilus","armatus"
"516","Spermophilus","atricapillus"
"517","Spermophilus","beecheyi"
"518","Spermophilus","beldingi"
"519","Spermophilus","brunneus"
"520","Spermophilus","canus"
"521","Spermophilus","citellus"
"522","Spermophilus","columbianus"
"523","Spermophilus","dauricus"
"524","Spermophilus","elegans"
"525","Spermophilus","erythrogenys"
"526","Spermophilus","franklinii"
"527","Spermophilus","fulvus"
"528","Spermophilus","lateralis"
"529","Spermophilus","madrensis"
"530","Spermophilus","major"
"531","Spermophilus","mexicanus"
"532","Spermophilus","mohavensis"
"533","Spermophilus","mollis"
"534","Spermophilus","musicus"
"535","Spermophilus","parryii"
"536","Spermophilus","perotensis"
"537","Spermophilus","pygmaeus"
"538","Spermophilus","relictus"
"539","Spermophilus","richardsonii"
"540","Spermophilus","saturatus"
"541","Spermophilus","spilosoma"
"542","Spermophilus","suslicus"
"543","Spermophilus","tereticaudus"
"544","Spermophilus","townsendii"
"545","Spermophilus","tridecemlineatus"
"546","Spermophilus","undulatus"
"547","Spermophilus","variegatus"
"548","Spermophilus","washingtoni"
"549","Spermophilus","xanthoprymnus"
"550","Tamias","alpinus"
"551","Tamias","amoenus"
"552","Tamias","bulleri"
"553","Tamias","canipes"
"554","Tamias","cinereicollis"
"555","Tamias","dorsalis"
"556","Tamias","durangae"
"557","Tamias","merriami"
"558","Tamias","minimus"
"559","Tamias","obscurus"
"560","Tamias","ochrogenys"
"561","Tamias","palmeri"
"562","Tamias","panamintinus"
"563","Tamias","quadrimaculatus"
"564","Tamias","quadrivittatus"
"565","Tamias","ruficaudus"
"566","Tamias","rufus"
"567","Tamias","senex"
"568","Tamias","sibiricus"
"569","Tamias","siskiyou"
"570","Tamias","sonomae"
"571","Tamias","speciosus"
"572","Tamias","striatus"
"573","Tamias","townsendii"
"574","Tamias","umbrinus"
"575","Graphiurus","angolensis"
"576","Graphiurus","christyi"
"577","Graphiurus","crassicaudatus"
"578","Graphiurus","johnstoni"
"579","Graphiurus","kelleni"
"580","Graphiurus","lorraineus"
"581","Graphiurus","microtis"
"582","Graphiurus","monardi"
"583","Graphiurus","murinus"
"584","Graphiurus","nagtglasii"
"585","Graphiurus","ocularis"
"586","Graphiurus","platyops"
"587","Graphiurus","rupicola"
"588","Graphiurus","surdus"
"589","Chaetocauda","sichuanensis"
"590","Dryomys","laniger"
"591","Dryomys","niethammeri"
"592","Dryomys","nitedula"
"593","Eliomys","melanurus"
"594","Eliomys","munbyanus"
"595","Eliomys","quercinus"
"596","Muscardinus","avellanarius"
"597","Myomimus","personatus"
"598","Myomimus","roachi"
"599","Myomimus","setzeri"
"600","Selevinia","betpakdalaensis"
"601","Glirulus","japonicus"
"602","Glis","glis"
"603","Castor","canadensis"
"604","Castor","fiber"
"605","Geomys","arenarius"
"606","Geomys","attwateri"
"607","Geomys","breviceps"
"608","Geomys","bursarius"
"609","Geomys","knoxjonesi"
"610","Geomys","personatus"
"611","Geomys","pinetis"
"612","Geomys","texensis"
"613","Geomys","tropicalis"
"614","Orthogeomys","cavator"
"615","Orthogeomys","cherriei"
"616","Orthogeomys","cuniculus"
"617","Orthogeomys","dariensis"
"618","Orthogeomys","grandis"
"619","Orthogeomys","heterodus"
"620","Orthogeomys","hispidus"
"621","Orthogeomys","lanius"
"622","Orthogeomys","matagalpae"
"623","Orthogeomys","thaeleri"
"624","Orthogeomys","underwoodi"
"625","Pappogeomys","alcorni"
"626","Pappogeomys","bulleri"
"627","Thomomys","clusius"
"628","Thomomys","idahoensis"
"629","Thomomys","mazama"
"630","Thomomys","monticola"
"631","Thomomys","talpoides"
"632","Thomomys","bottae"
"633","Thomomys","bulbivorus"
"634","Thomomys","townsendii"
"635","Thomomys","umbrinus"
"636","Zygogeomys","trichopus"
"637","Dipodomys","agilis"
"638","Dipodomys","californicus"
"639","Dipodomys","compactus"
"640","Dipodomys","deserti"
"641","Dipodomys","elator"
"642","Dipodomys","elephantinus"
"643","Dipodomys","gravipes"
"644","Dipodomys","heermanni"
"645","Dipodomys","ingens"
"646","Dipodomys","insularis"
"647","Dipodomys","margaritae"
"648","Dipodomys","merriami"
"649","Dipodomys","microps"
"650","Dipodomys","nelsoni"
"651","Dipodomys","nitratoides"
"652","Dipodomys","ordii"
"653","Dipodomys","panamintinus"
"654","Dipodomys","phillipsii"
"655","Dipodomys","spectabilis"
"656","Dipodomys","stephensi"
"657","Dipodomys","venustus"
"658","Microdipodops","pallidus"
"659","Microdipodops","megacephalus"
"660","Heteromys","anomalus"
"661","Heteromys","australis"
"662","Heteromys","desmarestianus"
"663","Heteromys","gaumeri"
"664","Heteromys","nelsoni"
"665","Heteromys","oasicus"
"666","Heteromys","oresterus"
"667","Heteromys","teleus"
"668","Liomys","adspersus"
"669","Liomys","irroratus"
"670","Liomys","pictus"
"671","Liomys","salvini"
"672","Liomys","spectabilis"
"673","Chaetodipus","arenarius"
"674","Chaetodipus","artus"
"675","Chaetodipus","baileyi"
"676","Chaetodipus","californicus"
"677","Chaetodipus","dalquesti"
"678","Chaetodipus","eremicus"
"679","Chaetodipus","fallax"
"680","Chaetodipus","formosus"
"681","Chaetodipus","goldmani"
"682","Chaetodipus","hispidus"
"683","Chaetodipus","intermedius"
"684","Chaetodipus","lineatus"
"685","Chaetodipus","nelsoni"
"686","Chaetodipus","penicillatus"
"687","Chaetodipus","pernix"
"688","Chaetodipus","rudinoris"
"689","Chaetodipus","spinatus"
"690","Perognathus","alticola"
"691","Perognathus","amplus"
"692","Perognathus","fasciatus"
"693","Perognathus","flavescens"
"694","Perognathus","flavus"
"695","Perognathus","inornatus"
"696","Perognathus","longimembris"
"697","Perognathus","merriami"
"698","Perognathus","parvus"
"699","Allactaga","balikunica"
"700","Allactaga","bullata"
"701","Allactaga","elater"
"702","Allactaga","euphratica"
"703","Allactaga","firouzi"
"704","Allactaga","hotsoni"
"705","Allactaga","major"
"706","Allactaga","severtzovi"
"707","Allactaga","sibirica"
"708","Allactaga","tetradactyla"
"709","Allactaga","vinogradovi"
"710","Allactodipus","bobrinskii"
"711","Pygeretmus","platyurus"
"712","Pygeretmus","pumilo"
"713","Pygeretmus","shitkovi"
"714","Cardiocranius","paradoxus"
"715","Salpingotulus","michaelis"
"716","Salpingotus","crassicauda"
"717","Salpingotus","heptneri"
"718","Salpingotus","pallidus"
"719","Salpingotus","thomasi"
"720","Salpingotus","kozlovi"
"721","Dipus","sagitta"
"722","Eremodipus","lichtensteini"
"723","Jaculus","blanfordi"
"724","Jaculus","jaculus"
"725","Jaculus","orientalis"
"726","Jaculus","turcmenicus"
"727","Paradipus","ctenodactylus"
"728","Stylodipus","andrewsi"
"729","Stylodipus","sungorus"
"730","Stylodipus","telum"
"731","Euchoreutes","naso"
"732","Sicista","armenica"
"733","Sicista","betulina"
"734","Sicista","caucasica"
"735","Sicista","caudata"
"736","Sicista","concolor"
"737","Sicista","kazbegica"
"738","Sicista","kluchorica"
"739","Sicista","napaea"
"740","Sicista","pseudonapaea"
"741","Sicista","severtzovi"
"742","Sicista","strandi"
"743","Sicista","subtilis"
"744","Sicista","tianshanica"
"745","Eozapus","setchuanus"
"746","Napaeozapus","insignis"
"747","Zapus","hudsonius"
"748","Zapus","princeps"
"749","Zapus","trinotatus"
"750","Platacanthomys","lasiurus"
"751","Typhlomys","cinereus"
"752","Eospalax","fontanierii"
"753","Eospalax","rothschildi"
"754","Eospalax","smithii"
"755","Myospalax","aspalax"
"756","Myospalax","epsilanus"
"757","Myospalax","myospalax"
"758","Myospalax","psilurus"
"759","Cannomys","badius"
"760","Rhizomys","pruinosus"
"761","Rhizomys","sinensis"
"762","Rhizomys","sumatrensis"
"763","Tachyoryctes","ankoliae"
"764","Tachyoryctes","annectens"
"765","Tachyoryctes","audax"
"766","Tachyoryctes","daemon"
"767","Tachyoryctes","ibeanus"
"768","Tachyoryctes","macrocephalus"
"769","Tachyoryctes","naivashae"
"770","Tachyoryctes","rex"
"771","Tachyoryctes","ruandae"
"772","Tachyoryctes","ruddi"
"773","Tachyoryctes","spalacinus"
"774","Tachyoryctes","splendens"
"775","Tachyoryctes","storeyi"
"776","Spalax","arenarius"
"777","Spalax","carmeli"
"778","Spalax","ehrenbergi"
"779","Spalax","galili"
"780","Spalax","giganteus"
"781","Spalax","golani"
"782","Spalax","graecus"
"783","Spalax","judaei"
"784","Spalax","leucodon"
"785","Spalax","microphthalmus"
"786","Spalax","nehringi"
"787","Spalax","uralensis"
"788","Spalax","zemni"
"789","Calomyscus","bailwardi"
"790","Calomyscus","baluchi"
"791","Calomyscus","firiusaensis"
"792","Calomyscus","hotsoni"
"793","Calomyscus","mystax"
"794","Calomyscus","tsolovi"
"795","Calomyscus","urartensis"
"796","Petromyscus","barbouri"
"797","Petromyscus","collinus"
"798","Petromyscus","monticularis"
"799","Petromyscus","shortridgei"
"800","Delanymys","brooksi"
"801","Dendromus","insignis"
"802","Dendromus","kahuziensis"
"803","Dendromus","kivu"
"804","Dendromus","lovati"
"805","Dendromus","melanotis"
"806","Dendromus","mesomelas"
"807","Dendromus","messorius"
"808","Dendromus","mystacalis"
"809","Dendromus","nyikae"
"810","Dendromus","oreas"
"811","Dendromus","vernayi"
"812","Dendroprionomys","rousseloti"
"813","Malacothrix","typica"
"814","Megadendromus","nikolausi"
"815","Prionomys","batesi"
"816","Steatomys","bocagei"
"817","Steatomys","caurinus"
"818","Steatomys","cuppedius"
"819","Steatomys","jacksoni"
"820","Steatomys","krebsii"
"821","Steatomys","opimus"
"822","Steatomys","parvus"
"823","Steatomys","pratensis"
"824","Mystromys","albicaudatus"
"825","Beamys","hindei"
"826","Beamys","major"
"827","Cricetomys","ansorgei"
"828","Cricetomys","emini"
"829","Cricetomys","gambianus"
"830","Cricetomys","kivuensis"
"831","Saccostomus","campestris"
"832","Saccostomus","mearnsi"
"833","Brachytarsomys","albicauda"
"834","Brachytarsomys","villosa"
"835","Brachyuromys","betsileoensis"
"836","Brachyuromys","ramirohitra"
"837","Eliurus","antsingy"
"838","Eliurus","ellermani"
"839","Eliurus","grandidieri"
"840","Eliurus","majori"
"841","Eliurus","minor"
"842","Eliurus","myoxinus"
"843","Eliurus","penicillatus"
"844","Eliurus","petteri"
"845","Eliurus","tanala"
"846","Eliurus","webbi"
"847","Gymnuromys","roberti"
"848","Hypogeomys","antimena"
"849","Macrotarsomys","bastardi"
"850","Macrotarsomys","ingens"
"851","Monticolomys","koopmani"
"852","Nesomys","audeberti"
"853","Nesomys","lambertoni"
"854","Nesomys","rufus"
"855","Voalavo","gymnocaudus"
"856","Lophiomys","imhausi"
"857","Allocricetulus","curtatus"
"858","Allocricetulus","eversmanni"
"859","Cansumys","canus"
"860","Cricetulus","alticola"
"861","Cricetulus","barabensis"
"862","Cricetulus","griseus"
"863","Cricetulus","kamensis"
"864","Cricetulus","longicaudatus"
"865","Cricetulus","migratorius"
"866","Cricetulus","sokolovi"
"867","Cricetus","cricetus"
"868","Mesocricetus","auratus"
"869","Mesocricetus","brandti"
"870","Mesocricetus","newtoni"
"871","Mesocricetus","raddei"
"872","Phodopus","campbelli"
"873","Phodopus","roborovski"
"874","Phodopus","sungorus"
"875","Tscherskia","triton"
"876","Alticola","albicaudus"
"877","Alticola","argentatus"
"878","Alticola","barakshin"
"879","Alticola","lemminus"
"880","Alticola","macrotis"
"881","Alticola","montosa"
"882","Alticola","olchonensis"
"883","Alticola","roylei"
"884","Alticola","semicanus"
"885","Alticola","stoliczkanus"
"886","Alticola","strelzowi"
"887","Alticola","tuvinicus"
"888","Arborimus","albipes"
"889","Arborimus","longicaudus"
