"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","tagID","individualNid","taxonID","scientificName","taxonRank","identificationQualifier","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","larvalTicksAttached","nymphalTicksAttached","adultTicksAttached","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF","duplicateTrapCoordinateQF","idqQF"
"45E3B1D87C694F4FA57304A8461C7E80","D03","OSBS","OSBS_023","H1","emergentHerbaceousWetlands",29.723908,-81.984110,"WGS84",,32.0,,"2013-07-13","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"F","N","N",,,,,"nonenlarged","not","neither",23,,,,51,,,,,"retroorbital",,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0,,
"228FAFFFC16A42C6A696B9D7DD5930E8","D03","OSBS","OSBS_023","F2","emergentHerbaceousWetlands",29.723816,-81.984316,"WGS84",,32.0,,"2013-07-13","MAM.OSBS.2013.07",,,"SIHI","Sigmodon hispidus","species",,,"N","N",,,,,,"not",,30,,,,,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","possible escape",0,0,0,-1,0,,
"BAE7512366FC471DA4E3836A47B67550","D03","OSBS","OSBS_023","B3","emergentHerbaceousWetlands",29.723723,-81.984729,"WGS84",,32.0,,"2013-07-13","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"M","N","Y",,,"subadult","nonscrotal",,,,,,,,,,,,,,,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0,,
"20A3290E997F4E04AA9FA6D4B65155F6","D03","OSBS","OSBS_023","F9","emergentHerbaceousWetlands",29.723185,-81.984310,"WGS84",,32.0,,"2013-07-13","MAM.OSBS.2013.07",,,"SIHI","Sigmodon hispidus","species",,"M","N","N",,,"subadult","nonscrotal",,,,30,,,,123,,,,,"retroorbital",,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0,,
"28BD802CF7514490A38D47963E038774","D03","OSBS","OSBS_023","F3","emergentHerbaceousWetlands",29.723726,-81.984315,"WGS84",,32.0,,"2013-07-13","MAM.OSBS.2013.07",,,"SIHI","Sigmodon hispidus","species",,"M","R","N",,,"adult","scrotal",,,,31,,,,183,,,,,"retroorbital",,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0,,
"0078641815CC4B78AE235BBD515029C0","D03","OSBS","OSBS_003","A7","evergreenForest",29.694841,-81.946042,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",24,,,,33,,,,,"retroorbital",,"fresh",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"E7BCF4DE37E94547ABBDA7804D848C0F","D03","OSBS","OSBS_003","B1","evergreenForest",29.695383,-81.945944,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,24,,,,31,,,,,"retroorbital",,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,1,-1,1,,
"AD2113B4B5D54BC5AA31176F6F72D3DA","D03","OSBS","OSBS_003","H6","evergreenForest",29.694937,-81.945320,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","N",,,"subadult",,"nonenlarged","not","neither",22,,,,29,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"BEDACB39F60D45EC8926905DF3614198","D03","OSBS","OSBS_003","I8","evergreenForest",29.694757,-81.945214,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,25,,,,36,,,,,"retroorbital",,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"573238EBB7B544958C793A71F852CBAE","D03","OSBS","OSBS_003","F7","evergreenForest",29.694845,-81.945525,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"PEGO","Peromyscus gossypinus","species",,"M","R","N",,,"adult","scrotal",,,,20,,,,32,,,,,"retroorbital",,"fresh",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"4BEDF81E4D434E88BEBDFBC7E8C6FEFF","D03","OSBS","OSBS_003","F9","evergreenForest",29.694664,-81.945524,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,22,,,,26,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"3C53B9F20FC44521AC673EA67E4C1AA1","D03","OSBS","OSBS_003","D2","evergreenForest",29.695295,-81.945736,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,26,,,,33,,,,,"retroorbital",,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"9BDB8171087E4152B0641D996F66770A","D03","OSBS","OSBS_003","B4","evergreenForest",29.695113,-81.945941,"WGS84",,32.0,,"2013-08-13","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",25,,,,34,,,,,"retroorbital",,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"B6AA77022DDB49798DFE12ACC3D9DA98","D03","OSBS","OSBS_003","J7","evergreenForest",29.694848,-81.945112,"WGS84",,32.0,,"2013-08-14","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","Y",,,"adult","scrotal",,,,24,,,,26,,,,,,,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,0,0,0,-1,0,,
"B80A78D2A4364AD89226DDCE0241A162","D03","OSBS","OSBS_003","E7","evergreenForest",29.694844,-81.945629,"WGS84",,32.0,,"2013-08-14","MAM.OSBS.2013.08",,,"PEGO","Peromyscus gossypinus","species",,"F","N","N",,,"subadult",,"nonenlarged","not","neither",20,,,,20,,,,,"retroorbital",,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,0,0,0,-1,0,,
"D20D3AE6AD1B4A6BA0BF9E3BA162C42F","D03","OSBS","OSBS_003","D4","evergreenForest",29.695114,-81.945735,"WGS84",,32.0,,"2013-08-14","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",24,,,,31,,,,,,,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,0,0,0,-1,0,,
"355EA5536B734B5A9EBF64A5C1C51A62","D03","OSBS","OSBS_003","A4","evergreenForest",29.695112,-81.946045,"WGS84",,32.0,,"2013-08-14","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","N","Y",,,"subadult","nonscrotal",,,,25,,,,31,,,,,,,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,0,0,1,-1,1,,
"8573BFB4CC884D2A8309B809F894BCB7","D03","OSBS","OSBS_003","A10","evergreenForest",29.694570,-81.946040,"WGS84",,32.0,,"2013-08-14","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",23,,,,35,,,,,,,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,0,0,0,-1,0,,
"B108D96F2CD84DE68AE20DEF964C5E42","D03","OSBS","OSBS_003","J1","evergreenForest",29.695389,-81.945117,"WGS84",,32.0,,"2013-08-14","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",23,,,,33,,,,,"retroorbital",,"old",,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72",,0,0,0,-1,0,,
"B24448A833FD4E2CBFF079C91BB4E1E0","D03","OSBS","OSBS_003","B10","evergreenForest",29.694571,-81.945936,"WGS84",,32.0,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,24,,,,32,,,,,"retroorbital",,"old",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"CA3F45408E7E40D9B7DB103175A042E8","D03","OSBS","OSBS_003","I7","evergreenForest",29.694847,-81.945215,"WGS84",,32.0,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","Y",,,"adult","scrotal",,,,25,,,,36,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"76C9408B92E34B7DB45F7878A0125CE1","D03","OSBS","OSBS_003","F3","evergreenForest",29.695206,-81.945529,"WGS84",,32.0,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",24,,,,28,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"00FC170C6905432A89E80D5B311858F4","D03","OSBS","OSBS_003","F6","evergreenForest",29.694935,-81.945526,"WGS84",,32.0,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",22,,,,31,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"2D831A4DA5CE4BE69BA9BF6F33017A32","D03","OSBS","OSBS_003","A5","evergreenForest",29.695022,-81.946044,"WGS84",,32.0,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","Y",,,"adult","scrotal",,,,22,,,,24,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"502B79502E854235AC114054BB1DDEC1","D03","OSBS","OSBS_003","B3","evergreenForest",29.695203,-81.945942,"WGS84",,32.0,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","R","Y",,,"adult","scrotal",,,,29,,,,31,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,1,-1,1,,
"7B0147CE6EDF46DAB228BD75AD0A85D0","D03","OSBS","OSBS_005","C5","woodyWetlands",29.695144,-82.026256,"WGS84",,37.4,,"2013-08-15","MAM.OSBS.2013.08",,,"POFL","Podomys floridanus","species",,"M","N","N",,,"adult","nonscrotal",,,,25,,,,27,,,,,"retroorbital",,"old",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"EA17CE03D5CA4378AA233BEEFC0903C6","D03","OSBS","OSBS_002","E1","evergreenForest",29.705461,-81.956253,"WGS84",,32.0,,"2013-08-27","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,,,,,34,,,,,"unsuccessful",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx","seemed stressed",0,0,0,-1,0,,
"25F5565CE2C44A74A3EBCC56AD4D7500","D03","OSBS","OSBS_002","B8","evergreenForest",29.704827,-81.956557,"WGS84",,32.0,,"2013-08-27","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","R","N",,,"adult",,"enlarged","not","neither",22,,,,29,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"C5E4DB2B1193456ABD5686C1119B1B75","D03","OSBS","OSBS_002","F3","evergreenForest",29.705281,-81.956148,"WGS84",,32.0,,"2013-08-27","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","R","Y",,,"adult",,"enlarged","pregnant","neither",25,,,,33,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"4F0D376B63F0439EA674C78A3CA4D219","D03","OSBS","OSBS_004","H3","evergreenForest",29.683145,-81.957878,"WGS84",,39.9,,"2013-08-27","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","R","Y",,,"adult",,"enlarged","not","neither",23,,,,32,,,,,"retroorbital",,"fresh",,,,,"SZd6jJU+PWukgvziuyetpzviWNuM2FzT","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0,0,0,-1,0,,
"0D703F20B6944FB9973D070DE5EB74E8","D03","OSBS","OSBS_004","I8","evergreenForest",29.682695,-81.957770,"WGS84",,40.5,,"2013-08-27","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","R","Y",,,"adult",,"enlarged","not","neither",27,,,,35,,,,,"retroorbital",,"fresh",,,,,"SZd6jJU+PWukgvziuyetpzviWNuM2FzT","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0,0,0,-1,0,,
"5B5596A15ED44FF980B6D53BCC412941","D03","OSBS","OSBS_023","D1","emergentHerbaceousWetlands",29.723905,-81.984524,"WGS84",,32.0,,"2013-08-28","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",20,,,,28,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"2A00A1145B0C485989E8CC03642712D2","D03","OSBS","OSBS_023","A2","emergentHerbaceousWetlands",29.723813,-81.984833,"WGS84",,32.0,,"2013-08-28","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"F","R","N",,,"adult",,"nonenlarged","pregnant","neither",21,,,,29,,,,,"unsuccessful",,"fresh",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx","tried to put down with isofluorine 3 times but was unable to",0,0,0,-1,0,,
"15A97C98AEC846B2AB6FE685760C4327","D03","OSBS","OSBS_023","F1","emergentHerbaceousWetlands",29.723907,-81.984317,"WGS84",,32.0,,"2013-08-28","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"M","N","N",,,"subadult","nonscrotal",,,,21,,,,25,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"89BA943A8A184156A5586BAA2C4DE78E","D03","OSBS","OSBS_004","J1","evergreenForest",29.683327,-81.957673,"WGS84",,39.6,,"2013-08-28","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",24,,,,31,,,,,,,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0,,
"B535EF370A1A4C65B09A5E90284CF683","D03","OSBS","OSBS_004","H10","evergreenForest",29.682513,-81.957872,"WGS84",,40.8,,"2013-08-28","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","R","Y",,,"adult",,"enlarged","not","neither",25,,,,34,,,,,,,,,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0,,
"BADF674D3A02437487BC9782145776BA","D03","OSBS","OSBS_012","E10","woodyWetlands",29.719655,-81.984989,"WGS84",,32.1,,"2013-08-28","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"M","N","N",,,"adult","nonscrotal",,,,21,,,,31,,,,,"retroorbital",,"fresh",,,,,"6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0,,
"5DDA3F53FA9C48619E8523C4086AA2D7","D03","OSBS","OSBS_002","F2","evergreenForest",29.705372,-81.956149,"WGS84",,32.0,,"2013-08-28","MAM.OSBS.2013.09",,,"POFL","Podomys floridanus","species",,"F","R","Y",,,"adult",,"enlarged","pregnant","swollen",25,,,,34,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"072CD6A33638464F9434CA82BCBC198E","D03","OSBS","OSBS_023","J2","emergentHerbaceousWetlands",29.723820,-81.983903,"WGS84",,32.0,,"2013-08-29","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",22,,,,29,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"7FEF1937036F4E02A6A66A896EED3267","D03","OSBS","OSBS_023","A2","emergentHerbaceousWetlands",29.723813,-81.984833,"WGS84",,32.0,,"2013-08-29","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"M","R","N",,,"adult","scrotal",,,,21,,,,30,,,,,"retroorbital",,"old",,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"18A5EAA184494EF1889034A33DBD0E60","D03","OSBS","OSBS_023","C5","emergentHerbaceousWetlands",29.723543,-81.984624,"WGS84",,32.0,,"2013-08-29","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",21,,,,30,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
"A632DCCF98D148A58DAAEF1033A245AE","D03","OSBS","OSBS_023","D1","emergentHerbaceousWetlands",29.723905,-81.984524,"WGS84",,32.0,,"2013-08-29","MAM.OSBS.2013.09",,,"PEGO","Peromyscus gossypinus","species",,"F","N","Y",,,"adult",,"nonenlarged","not","neither",21,,,,27,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0,,
